Type,Cleaned_content
positive,sale depart store divis hobbi hall increas 7 sale cloth store subsidiari seppala decreas 4
positive,sale risen export market
positive,sale increas due grow market rate increas oper
positive,agreement strengthen longterm partnership nokia siemen network
positive,agreement sign biohit healthcar ltd ukbas subsidiari biohit oyj finnish public compani develop manufactur market liquid handl product diagnost test system
positive,compani also estim alreadi carri invest lead increas net sale 2010 2009 reach eur 1417 million
positive,compani order book stood 15 bln euro 22 bln septemb 30 2007 242 pct year intern order amount 365 mln euro 5343 mln
positive,compani said paper demand increas main market includ public paper increas averag paper price 4 percent compar last year
positive,world second largest stainless steel maker said net profit threemonth period dec 31 surg euro603 million us 781 million euro3 33 us 431 per share euro172 million euro0 94 per share previou year
positive,within framework partnership nokia siemen network sign initi framework purchas agreement sitron subsidiari jsc mikron largest manufactur export microelectron compon russia
positive,seppala revenu increas 02 eur10 1 finland revenu went 24 eur6 8 sale abroad rose 62 eur3 3 sale increas baltic countri well russia ukrain
positive,share standard charter stan rose 12 ftse 100 royal bank scotland rb share rose 2 barclay share barc bc 17
positive,share nokia corp rose thursday cell phone maker said thirdquart earn almost doubl share global handset market increas
positive,financi report publish friday seb said net profit soar sek6 745 bn 2010 yearearli sek1 114 bn propos 50 dividend increas sek1 50 per share
positive,sale depart store divis increas 15 sale cloth store subsidiari seppala increas 8 meanwhil sale hobbi hall decreas 12
neutral,request finnish media compani alma media newspap research manag jari kaivooja finland futur research centr turku school econom drawn futur scenario finland nation economi use model develop univers denver
neutral,sweden gallerix accumul sek denomin sale 1 eur denomin sale 11
neutral,compani support global custom develop new technolog offer fast rout product develop applic volum product
neutral,invest place atria plan expand moscow market
neutral,new agreement continu theagreement sign earlier year lemminkainen group wherebi cramo acquir entir construct machin fleet oflemminkainen talo oy ita ja pohjoi suomo sign asimilar agreement said tatu hauhio manag director ofcramo finland
positive,first contract envisag construct three ferryboat option two unit confirm total valu 500 mln euro 6458 mln
neutral,june sold 30 percent stake nordstjernan invest group taken option acquir eqt remain share
positive,kesko corpor stock exchang releas 28022008 0930 1 1 kesko corpor aspo plc today sign agreement aspo acquir share capit kaukotelko ltd subsidiari wholli own kesko
positive,sponda plc stock exchang releas 5 decemb 2006 1545 eur 15 billion syndic credit facil sponda sponda sign agreement oneyear syndic credit facil total eur 15 billion
neutral,stock exchang announc 20 juli 2006 1 1 baswar share subscript warrant increas share capit total 119 850 share subscrib baswar warrant program
positive,contract cover hdo platform ac800 cxe880 optic fttb node design increas forward return path capac transmiss network
neutral,new plant plan electr gener capac 350 megawatt mw heat gener capac
positive,omx helsinki 25 index 092 pct 251867 helsinki cap portfolio index 091 pct higher 471119
neutral,sale growth car consider influenc tire market
neutral,maximum 666104 new share subscrib exercis b option 2004 stock option plan
neutral,result share issu number compani share increas 391630 share share capit total eur 1566520
neutral,finnish real estat investor sponda plc said wednesday 12 march sign agreement dansk bank helsinki branch 7year eur150m credit facil ilmarinen mutual pension insur compani 7year eur50m credit facil
neutral,rout helsinki finland tallinn estonia cargo volum increas 36 cargo volum finland sweden fell 9
neutral,measur includ increas synergi economi scale within grimaldi group personnel adjust divest redeliveri excess tonnag
positive,rinkuskiai rais sale 181 percent 137 million liter sale kauno alu grew 143 percent 960000 liter
neutral,telecomworldwire7 april 2006tj group plc sell stake morn digit design oy finnish compani tj group plc said friday 7 april sign agreement sell share morn digit design oy edita oyj
positive,telecomworldwire7 april 2006tj group plc sell stake morn digit design oy finnish compani tj group plc said friday 7 april sign agreement sell share morn digit design oy edita oyj
neutral,718430 new seri share becom subject trade helsinki stock exchang main list togeth old seri share juli 3 2006
neutral,fuel purchas contract sign three month deliveri septemb novemb
neutral,tiimari oper 194 store six countri includ core finnish market gener turnov 765 mln eur 2005
positive,agreement biohit becom focu supplier pipettor dispos pipettor tip vwr custom throughout europ
positive,combin servic enabl us offer complex strengthen servic chain limit baltic port connect also get access world wide grimaldi network mediterranean africa north america say uwe bakosch
neutral,blindspot come 1 vantag point allow investig see whole stori high resolut unbroken video
positive,compani still expect turnov 2010 slightli increas level 2009 ad market predict still poor trustworthi forecast market develop contract manufactur busi current year
positive,acquisit consider increas kemira sale market posit russian metal industri coat market
positive,januaryseptemb 2007 finnlin net sale rose eur 5054 mn eur 4735 mn correspond period 2006
positive,adjust chang group structur divis net sale increas 17
positive,chang optim oper effici grow busi said julia prohaska director market commun fiskar
positive,would invest physic infrastructur would also provid knowhow manag develop scienc technolog park said sunris valley director andriu bagdona
positive,4 februari 2011 finnish broadband data commun system provid telest oyj hel tlt1v saw net profit jump eur2 1 last quarter 2010 eur995 000 period 2009
positive,finnish aktia group oper profit rose eur 175 mn first quarter 2010 eur 82 mn first quarter 2009
positive,finnish bank _land consolid net oper profit increas eur 48 mn first quarter 2005 eur 64 mn first quarter 2006
positive,finnish financi group aktia report oper profit eur 444 mn januaryseptemb 2009 eur 373 mn correspond period 2008
positive,finnish high technolog provid vaahto group report net sale eur 418 mn account period septemb 2007 februari 2008 increas 112 year earlier
positive,net sale finnish food industri compani lnnen tehtaat continu oper increas 13 2008 eur 3491 mn eur 3096 mn 2007
positive,individu promot also gener slightli higherthanexpect revenu
positive,biohit alreadi servic mani current genesi custom custom base expect expand result agreement
positive,oper profit turnov threemonth period increas respect eur0 9 eur8 3 compar correspond period 2005
positive,circul revenu increas 5 finland 4 sweden 2008
positive,cloth chain seppl net sale increas 70 eur 308 mn
positive,construct volum meanwhil grow rate 1015 percent annual
positive,finnish swedish construct market still experienc estim 4 annual growth 2008
positive,howev biohit estim total net sale continu grow 2009 favour trend net sale lead profit 2009
positive,2009 fiskar cash flow oper activ amount eur121m eur97m previou year
positive,lithuania oper profit rose eur 190000 eur 70000 correspond period 2005
positive,fourth quarter 2008 net sale increas 2 eur 10507 mn eur 10270 mn fourth quarter 2007
positive,intern sale rose 598 eur 12444 mn
neutral,kalmar espana gener net sale 113 mln euro 148 mln 2005
positive,net sale grew period x20ac 402 million 585u million x20ac 401 million 2006
positive,net sale increas eur655m april june 2010 eur438m year earlier
positive,net sale rose 255 yearonyear eur59 6 number charger deliv went 41 659 million piec
positive,net sale total eur 936 mn eur 932 mn correspond period 2005
positive,nokia also note averag sell price handset declin period though mobil phone profit margin rose 22 percent 13 percent yearago quarter
positive,oper profit increas 1451 eur 83 mn eur 34 mn
positive,oper profit margin increas 112 117
positive,oper profit rose eur 311 mn eur 122 mn correspond period 2009
positive,oper profit rose eur 5mn eur 28 mn fourth quarter 2008
positive,oper profit eur 245 mn eur 230 mn
positive,ramir net sale second quarterend june 30 euro 1287 million us 163 million 33percent increas compar euro 1246 million thesecond quarter last year
positive,revenu grew 2 percent x20ac 580 million 743 million x20ac 569 million
positive,ruukki announc sign agreement aker solut norway suppli 24 suction anchor septemb 2010 kalajoki unit finland
positive,ruukki deliveri volum sell price show favour develop compani compar net sale grew 50 yearonyear eur647m ceo sakari tamminen said
positive,sanoma magazin net sale estim grow 2006
positive,bank forecast finland gdp grow 2 2010 2011
positive,circuit overal product rate weekli basi excess averag 40000 tonn per day volum excess 50000 tonn per day reach individu day
positive,compani consolid oper profit amount eur 1586 mn eur 414 mn yearonyear
positive,depart store divis report increas sale 4 per cent
positive,fair valu compani invest properti grew eur 2803 billion end march 2009 eur 2691 million year ago
positive,last quarter best quarter 2009 net sale oper margin rose 122
positive,major breweri increas domest beer sale 45 per cent last year 25688 million litr 24592 million litr 2004
positive,transact doubl tecnomen workfors add fourth net sale
positive,oper profit rose 269 eur 1058 834 million
positive,purchas cramo becom second largest rental servic provid latvian market
positive,prioriti 2009 strengthen compani balanc sheet increas cash flow ceo hannu krook said
positive,purchas oper part yit strategi expand offer build system servic geograph
positive,21 octob 2010 finnish fish tackl compani rapala vmc corp hel rap1v said today net profit rose eur18 9 first nine month 2010 eur15 1 period year earlier
neutral,structur bim build inform model softwar tekla modelbas softwar provid adopt construct manag deliveri univers project abu dhabi
positive,accord finnish metso miner valu compani order gone eur 19 bn 12 month
positive,finnish aldata solut sign contract suppli gold system two french retail chain
positive,finnish bank _land report oper profit rose eur 213 mn second quarter 2009 eur 61 mn correspond period 2008
positive,finnish financi group aktia oper profit 2009 increas eur 470 mn eur 66 mn 2008
positive,finnish forest machineri manufactur ponss net sale grew eur 513 mn first quarter 2010 eur 375 mn correspond period 2009
positive,finnish kci konecran rais net sale growth estim 2006 25 35
positive,finnish okmet manufactur process silicon wafer semiconductor sensor industri norwegian solar wafer compani norsun sign contract okmet suppli norsun mono silicon crystal use solar cell manufactur
positive,finnish pharmaceut compani orion net sale rose eur 190mn first quarter 2009 eur 180mn first quarter 2008
positive,finnish ponss sign agreement babcock africa distribut support ponss forest machin harvest head inform system south africa
positive,south african sappi becom largest foreign forest industri compani oper finland result acquisit finnish mreal corpor graphic paper busi unit
positive,accord deputi md pekka silvennoinen aim doubl turnov next three year
positive,accord hkscan finland plan increas jrvisuomen portti net sale eur 80mn eur 100mn
positive,advertis circul revenu grew 34 04 respect
positive,takeov cramo becom second largest rental servic provid latvian market
positive,signific sale increas 186 russia
positive,alma media expect net sale increas forecast previous
positive,also lemminkinen profit account period went eur 31 mn eur 245 mn year ago
positive,end march 2007 group order book eur 396 mn 42 correspond period 2006
positive,time profit compani increas 10 h1 reach ls 79000
neutral,aviat system mainten base kansa gener net sale usd 26 million 2008
positive,besid increas share meat variou sausag offer number new tast grill product shish kebab segment paavel said
positive,oper profit net sale 12month period increas respect eur10 5 eur28 8 compar financi year 2004
positive,oper profit net sale 12month period increas respect eur20 8 eur177 7 compar financi year 2004
positive,oper profit net sale 12month period increas respect eur21 5 eur196 1 compar 2005
positive,oper profit net sale 12month period increas respect eur4 7 eur26 7 compar 2004
positive,oper profit net sale ninemonth period increas respect 266 34 compar correspond period 2006
positive,oper profit net sale sixmonth period increas respect eur13 8 eur143 6 compar correspond period 2007
positive,oper profit net sale sixmonth period increas respect eur0 4 eur3 2 compar correspond period 2005
positive,oper profit net sale sixmonth period increas respect eur18 1 eur127 6 compar correspond period 2006
positive,oper profit net sale sixmonth period increas respect eur7 5 eur655 5 compar correspond period 2005
positive,oper profit net sale threemonth period increas respect eur15 1 eur131 5 compar correspond period 2005
positive,oper profit net sale threemonth period increas respect eur16 0 eur139m compar correspond quarter 2006
positive,oper profit sale threemonth period increas respect eur0 3 eur13 1 compar correspond period 2005
positive,oper profit turnov ninemonth period increas respect eur2 4 eur43 8 compar correspond period year ago
positive,oper profit turnov sixmonth period increas respect eur17 6 eur1149 9 compar correspond period 2007
positive,oper profit turnov sixmonth period increas respect eur0 1 eur29 0 compar correspond period year ago
positive,cargo volum grew 7
positive,cargo volum increas approxim 5
positive,compar oper profit total eur 854mn eur 730mn 2004
positive,digia said consolid net sale januaryjun 2010 eur67 8 97 period 2009 eur61 9
positive,dilut earn per share ep rose eur 029 eur 005
positive,dilut earn per share ep rose eur 052 versu eur 009
positive,dilut earn per share ep rose eur 105 eur 064
positive,dilut earn per share ep rose eur 368 eur 050
positive,dilut ep rose eur3 68 eur0 50
positive,ebit margin 14 51
neutral,editor note grimaldi gener 17 bln euro 2182 bln turnov 2005 ansa report may 29 2006
positive,ep quarter eur0 00 compar eur0 01 third quarter 2008 repres group net sale third quarter eur15 3 28 compar eur14 9 third quarter 2008
positive,ep continu oper came 030 eur 017
positive,equiti ratio 609 compar 542 third quarter 2007 net sale frozen food busi total eur 110 5 third quarter 2006
positive,eur928 000 q1 2010 6 may 2010 finnish textil cloth design compani marimekko oyj hel mmo1v said today net profit rose eur928 000 first quarter 2010 eur13 000 correspond period year earlier
positive,finlandbas elcoteq se privat held provid electron manufactur servic commun compani said thursday sign longterm manufactur suppli deal commun equip compani andrew corp
positive,finnish cutleri hand tool maker fiskar oyj abp hel fisa said today net profit rose eur 241 million usd 336 third quarter 2010 eur 179 million year earlier
positive,finnish depart store chain stockmann oyj abp net profit rose 398 mln euro 568 mln first nine month 2007 374 mln euro 534 mln period 2006
positive,finnish lift equip maker konecran oyj said juli 30 2008 net profit rose 712 mln euro 1111 mln first half 2008 571 mln euro 891 mln period 2007
positive,finnish messag solut develop tecnomen corpor omx helsinki tem1v said thursday 11 decemb receiv expans order converg charg solut latin america
positive,finnish metal industri solut supplier outotec oyj net profit rose 504 mln euro 725 mln first nine month 2007 201 mln euro 289 mln period 2006
positive,finnish metal product compani componenta oyj net profit rose 261 mln euro 359 mln first quarter 2007 53 mln euro 73 mln period 2006
positive,finnish offic suppli comput accessori dealer belttongroup plc said net profit rose 13 mln euro 17 mln 2006 113 mln euro 15 mln 2005
positive,finnish secur privaci softwar solut develop stonesoft oyj said januari 7 2008 preliminari sale stoneg product grew 59 pct yearonyear 36 mln euro 53 mln fourth quarter 2007
positive,finnish silicon wafer technolog compani okmet oyj omx helsinki okm1v report thursday 7 august oper profit eur5 3 period januaryjun 2008 eur3 3 correspond period 2007
positive,finnish softwar develop done solut oyj said net profit increas 35 mln euro 46 mln 2006 23 mln euro 30 mln 2005
positive,first quarter underli oper profit rose 41 mln eur 33 mln year earlier
positive,follow acquisit relacom strengthen presenc finland serv oper offic market mobil fix network construct instal mainten servic
positive,first nine month 2010 compani net profit rose eur41m eur30m correspond period 2009
positive,helsinki afx retail wholesal group kesko report net sale 6594 mln eur februari increas 108 pct yearonyear
positive,howev net sale 2010 seen grown eur598 3 eur582 3 2009
positive,howev sale return growth apriljun 2010 ceo pekka eloholma said
positive,raguti control finnish breweri report 54percent rise beer sale 1044 million litr held 1109percent market share
positive,svyturysuteno alu control nordic group baltic beverag hold bbh post 47percent growth beer sale januarymay 4622 million litr
neutral,2007 contempu gener revenu nok 693 approx
positive,addit kone sign twoyear mainten contract escal
positive,decemb alon member lithuanian brewer associ sold total 203 million liter beer increas 19 percent sale 1992 million liter decemb 2004
positive,januaryseptemb 2009 group net interest incom increas eur 1124 mn eur 743 mn januaryseptemb 2008
positive,q1 2010 bank _land net interest incom increas eur 91 mn eur 97 mn
positive,sweden oper profit period review total eur 34 mn 308 correspond period 2005
positive,fourth quarter 2009 orion net profit went 338 yearonyear eur33m
positive,second quarter 2010 group net profit rose eur 31 million eur 25 million apriljun 2009
positive,second quarter 2010 group net profit rose eur3 1 eur2 5 apriljun 2009
positive,third quarter net sale increas 12 yearonyear eur 1595 million 6 compar currenc rate growth
positive,third quarter net sale increas 12 yearonyear eur159 5 6 compar currenc rate growth
neutral,incap estim gener revenu 10 mln euro 132 mln indian oper 2007
positive,market share widen 4851 percent 4831 percent year earlier
neutral,total annual revenu come 160 mln zloti 569 mln42 3 mln euro
positive,kesko agro eesti retail wholesal grain agricultur wareh machineri accessori net sale 81 million euro 2007 increas onetenth preced year
positive,kesko car import retail busi vvauto saw sale grow 171 pct
positive,kone net sale rose 14 yearonyear first nine month 2008
positive,adp new feb 11 2009 finnish manag softwar solut provid ixono oyj hel xns1v said today net profit rose eur 35 million usd 45 2008 eur 31 million 2007
positive,adp new feb 12 2009 finnish solut provid affecto oyj hel afe1v said today net profit rose eur 85 million usd 11m 2008 eur 7 million 2007
positive,adp new feb 6 2009 finnish fish tackl compani rapala vmc corp hel rap1v said today net profit rose eur 192 million usd 246 2008 eur 175 million 2007
positive,adp new nov 5 2008 finnish electron measur product solut maker vaisala oyj omx vaia said today net profit rose eur 18 million usd 231 first nine month 2008 eur 1
positive,adp new oct 29 2008 finnish lift equip maker konecran oyj omx kcr1v said today net profit rose eur 1166 million usd 1491 first nine month 2008 eur 736 million
positive,metso expect net sale increas 10 2008 compar exchang rate
neutral,mreal gener turnov eur5 6 bn 2006 15500 employe
positive,nest oil corp sign longterm procur contract honkajoki oy findest protein oy own finnish food manufactur suppli anim fat biodiesel product nest 200000 bcd porvoo finland refineri
positive,net interest incom increas 45 eur 314 mn eur 300 mn 2004
positive,net interest incom eur 1522 mn eur 1010 mn 2008
positive,net interest incom eur 393 mn eur 327 mn
positive,net sale veget oil busi rose eur 106 mn eur 101 mn
positive,nokia multimedia net sale total eur 57 bn 45 correspond period 2005
positive,oper incom rose eur 6964 mn eur 6003 mn 2009
positive,oper profit kauppalehti group rose eur 15 mn eur 13 mn marketplac eur 13 mn eur 10 mn third quarter 2006
positive,oper profit rose eur 194 mn eur 245 mn
positive,oper profit rose 221 mln eur 199 mln
positive,oper profit rose eur 16 mn eur 11 mn correspond period 2006
positive,oper profit rose eur 1034 mn eur 232 correspond period 2006
positive,oper profit rose eur 135 mn eur 97 mn correspond period 2006
positive,oper profit rose eur 267 mn eur 149 mn correspond period 2006
positive,oper profit rose eur 278 mn eur 175 mn 2008
positive,oper profit rose eur 32 mn eur 10 mn correspond period 2008
positive,oper profit rose eur 47 mn eur 36 mn
positive,oper profit rose eur 47 mn eur 46 mn
positive,oper profit rose eur 92 mn eur 68 mn correspond period 2007
positive,oper profit rose eur2 4 eur1 6 year earlier
positive,oper profit surg eur21m eur106 000
positive,oper profit total eur 377 mn slightli eur 372 mn correspond period 2006
positive,oper profit total eur 55 mn eur 07 mn
positive,oper profit eur 114 mn eur 75 mn
positive,oper profit eur 1397 mn 23 eur 1138 mn
positive,order intak grew 40 yearonyear 30 yearonyear respect eur 576 million eur 17 billion respect januaryseptemb julyseptemb 2010 period
positive,order receiv grew 55 yearonyear eur732m
positive,orion pharma oper profit increas 425 2004
positive,passeng volum rose 84 account period
positive,passengerrel revenu rose 51 eur 4608 mn eur 4385 mn 2009
positive,press releas 9 octob 2009 ruukki sign contract deliv instal steel structur bridg kyronsalmi strait savonlinna finland
positive,pretax profit rose eur 06 mn eur 04 mn correspond period 2005
positive,pretax profit rose eur 1019 mn eur 1007 correspond period 2005
positive,pretax profit rose eur 178 mn eur 149 mn 2005
positive,pretax profit total eur 3974 mn eur 1647 mn
positive,previous compani guid ebit sale growth 20 pct 10 pct respect year
positive,previous compani estim oper profit reach level 2005
positive,profit period total eur 394 mn eur 339 mn correspond period 2006
positive,profit period eur 59 mn eur 13 mn
positive,profit period eur 98 mn eur 60 mn 2004
positive,revenu grew 12 percent x20ac 36 billion us 45 billion
positive,revenu juli septemb grew 14 percent euro 467 million year earlier compani said thursday
positive,revenu time grew 14 percent 43 million euro
positive,ruukki sign contract deliv instal steel structur bridg kyronsalmi strait savonlinna finland
positive,sale latin america increas 42 eur 432mn total 87 mn mobil devic sold area repres increas 32 correspond period 2009
positive,sale cloth develop best
positive,sanoma magazin finland net sale grew eur 1401 mn eur 1318 mn
positive,satama net profit third quarter 2007 rose 275000 euro 395000 270000 euro 388000 period 2006
positive,section region new demand finnair asian traffic measur passeng kilomet 349 august compar last year
positive,svyturysuteno alu control nordic group baltic beverag hold bbh post 61 percent growth beer sale januaryseptemb 10199 million liter
positive,would increas estim sale 117 million last year
positive,agreement expand tekla structur scope use bridg design
positive,aim increas sale least one fifth 2006
positive,chain post sale 298 million euro full 2005 rise 195 percent yearonyear
positive,compani expect net sale 2008 increas 510 2007
positive,compani expect net sale first half 2008 reach previou year level
positive,compani process build new fleet place order 10 pmax tanker 65200 dwt
positive,compani oper incom ebit total eur 00 mn eur 03 mn yearonyear
positive,ep outlook increas 56 pct 2007 70 pct 2008
positive,fair valu invest properti total eur 25349 mn eur 24551 mn 2006
positive,finnish govern announc wednesday sold 32 percent stake chemic fertil group kemira oyj x20ac 6556 million 890u million send compani share price 6 percent
neutral,firm gener sale 187 mln eur 2005
positive,german compani also sign code share agreement anoth oneworld member american airlin inc part usbas amr corp nyse amr
positive,helsinkibas compani also own salomon atom suunto brand said net profit rose 15 percent three month dec 31 x20ac 47 million 61u million x20ac 408 million year earlier
positive,increas capit stock regist finnish trade regist 20 novemb 2006
positive,oper profit grain trade increas eur 20 mn eur 14 mn 2005
positive,stock rose second day wednesday bring twoday rise gbx12 0 20
positive,stock rose third day tuesday bring threeday rise gbx10 50 18
positive,transact line aspo strategi expand baltic sea region eastern market
positive,transact would increas earn per share first quarter eur0 28
positive,recoveri base metal price increas demand metal china howev
positive,new represent extend comptel global presenc total 18 countri serv 250 custom 80 countri worldwid
positive,tietoen use nokia intellisync mobil suit wireless email calendar devic manag capabl compani extend servic custom
positive,total oper revenu grew 276 yearonyear eur61m
positive,vacon cash flow oper grew eur 371 mn eur 219 mn year ago
neutral,vacon suppli drive ruselprom power rang 200 kw 2 mw
positive,also strengthen exist partnership cybercom say telest cto esko myllyla
positive,via satlan acquisit telest plan expand market presenc video servic partner cabl oper broadcast iptv servic provid
positive,acquisit compani expand offer north central south america said
positive,extens new contract eight engin plant produc 100 mw said
positive,yit say acquisit part strategi expans central eastern european market
positive,baswar product sale grew strongli financi period 24 percent
positive,second quarter 2010 firstquart growth net sale sinc third quarter of2008 said magnu rosen ramir ceo
positive,transact strengthen posit design brand good said fiskar presid ceo heikki allonen point two group rel overlap oper
positive,1 februari 2011 finnish textil cloth compani marimekko oyj hel mmo1v said today preliminari oper profit grew eur8 2 2010 eur6 3 2009
neutral,finnish componenta publish new longterm strategi period 20112015 aim grow togeth custom
positive,finnish larox sign contract talvivaara project deliveri filter talvivaara nickel mine sotkamo finland
positive,affecto expect net sale whole 2010 increas 2009 level reach eur 103 million
positive,cash flow oper rose eur 527 mn eur 156 mn 2007
positive,commiss incom rose 257 eur 161 mn eur 128 mn 2004
positive,componenta object agreement increas busi exist product line
positive,earn per share januaryjun 2010 eur0 30 increas 20 yearonyear eur0 25
positive,earn per share ep rose eur 011 eur 003
positive,elisa said mobil subscript grew 7 percent 2007 mainli custom adopt socal third gener mobil technolog
positive,ep quarter came 036 eur 033 eur year ago ahead forecast 033 eur
positive,ep grew 004 eur 002 eur
positive,export grew 165 percent 191 million liter
positive,finnish invest group panostaja oyj said net profit went 86 mln euro 114 mln fiscal 200506 end octob 31 2006 28 mln euro 37 mln period fiscal 200405
positive,finnish metal compon supplier componenta oyj said net profit went 35 mln euro 45 mln 2006 22 mln euro 28 mln 2005
positive,finnish silicon wafer technolog compani okmet oyj omx helsinki okm1v report thursday 30 octob oper profit eur7 4 januaryseptemb 2008 eur6 1 correspond period 2007
positive,fiskar brand report net sale eur 1458 mn eur 1384 mn
positive,geosentr oyj geosolut busi unit gypsii mobil digit lifestyl applic geomobl social network platform sign agreement nanj mynet make gypsii mobil social network platform avail custom china mobil
positive,helsinki afx outokumpu technolog said sign 35 mln eur agreement mongolia erdenet mine corpor engin first hydrocopp plant built erdenet mine site
positive,howev proport paid stand order grew 2009
positive,addit demand finland export line stone product also increas
positive,januaryseptemb 2007 group net sale continu oper rose eur 2131 mn eur 1726 mn correspond period 2006
positive,julyseptemb 2008 yit net sale increas eur 9708 mn compar eur 9068 mn correspond period 2007
positive,report period net sale rose 8 yearonyear eur64 3 due busi acquisit realiz first half 200809 effect eur10 9 review period
positive,report period compani oper profit grew 432 eur 6 million
positive,last year net sale rose eur 683 million eur 622 million
positive,last year compani rais turnov approxim 7 million lita eur 2 mln 61 million lita 2004
positive,adp new nov 18 2008 finnish ac drive manufactur vacon oyj omx vac1v said today set new repres offic romania ukrain serv grow market eastern southeastern europ
positive,marimekko group fullyear net sale estim increas 10
positive,net sale surg 30 eur 36 million
positive,net sale went 1 yearonyear eur 29 million affect busi acquisit realiz previou financi period effect eur 51 million review period
positive,nevertheless market share rose 4914 percent 4851 percent year earlier
positive,nokia world largest mobil phone manufactur china postel china largest mobil phone distributor longstand partnership continu grow stronger time
positive,octoberdecemb sale 302 mln eur 253 pct increas year year
positive,olvi control 94 percent stake raguti le coq said annual report publish earlier year lithuanian breweri sale reach 1504 million euro last year rise 204 percent 1249 million euro 2004
positive,olvi expect sale market share increas first quarter 2010
neutral,olvi target strengthen market share soft drink miner water cider long drink energi drink
positive,oper profit increas eur 140 mn eur 49 mn correspond period 2005
positive,oper profit asian plant grew markedli
positive,oper profit total eur 825mn eur 763mn 2004
